Title,Seconds Viewed,Playback Start Datetime (UTC),Viewtime
(T)Raumschiff Surprise - Periode 1,112.9,31.01.2021,00:01
1917,6584.066,04.11.2021,01:49
5 Zimmer Küche Sarg [dt./OV],4835.268,26.12.2022,01:20
Bean,116.116,16.05.2022,00:01
Crazy Stupid Love [dt./OV],6873.622,03.01.2021,01:54
Das Erste HD,2628.714,31.12.2021,00:43
Das perfekte Geheimnis,0.0,06.02.2022,00:00
Der perfekte Ex,5795.84,16.03.2021,01:36
Die Bourne Identität,35.724,11.03.2023,00:00
Die Feuerzangenbowle,11805.071,26.12.2022,03:16
Die Goldfische,6747.127,28.03.2021,01:52
Drive,5809.551,28.12.2022,01:36
"Entdecken Sie alles, was Prime zu bieten hat",0.0,09.03.2022,00:00
Harry Potter And The Deathly Hallows - Part 1,8127.24,19.12.2022,02:15
Harry Potter And The Half-Blood Prince,9223.455,19.12.2022,02:33
Harry Potter and the Chamber of Secrets,9356.188,23.07.2023,02:35
Harry Potter and the Deathly Hallows - Part 2,7097.574,21.12.2022,01:58
Harry Potter and the Order of the Phoenix,8204.454,18.12.2022,02:16
Harry Potter and the Prisoner of Azkaban,8673.994,29.01.2023,02:24
Harry Potter und der Feuerkelch [dt./OV],9181.703000000001,06.01.2023,02:33
KiKA HD,727.626,25.09.2022,00:12
"Küss mich, Mistkerl! [dt./OV]",5377.326,17.11.2023,01:29
La La Land [dt./OV],7232.341,30.01.2023,02:00
Madagascar [OV],14359.608,26.03.2022,03:59
Mamma Mia! - Der Film (4K UHD),6476.728,08.01.2023,01:47
Match Coverage,37451.873999999996,21.02.2023,10:24
Mord im Pfarrhaus,314.139,15.05.2022,00:05
NDR Fernsehen NDS HD,5240.131,31.12.2021,01:27
Not available,0.0,14.05.2021,00:00
Notting Hill [dt./OV],7434.472,25.12.2022,02:03
PRESENTING ATOM EVE SPECIAL EPISODE-INVINCIBLE - PRESENTING ATOM EVE SPECIAL EPISODE,3314.806,07.11.2023,00:55
Palm Springs,1048.589,16.05.2022,00:17
Rendezvous mit Joe Black,2265.168,17.12.2022,00:37
Schöne Bescherung,5663.123,26.12.2021,01:34
Star Trek Into Darkness [dt./OV],7329.8099999999995,06.06.2021,02:02
Tatsächlich...Liebe,15775.657,24.12.2022,04:22
Teenage Mutant Ninja Turtles [dt./OV],4614.931,20.09.2021,01:16
The Gentlemen [dt./OV],2683.457,03.02.2022,00:44
The King's Speech [dt./OV],6590.973,13.06.2023,01:49
The Nice Guys,6709.158,09.04.2022,01:51
The Suicide Squad (2021) [dt./OV],144.043,12.01.2023,00:02
The Voyeurs,8673.543000000001,26.09.2021,02:24
Vielmachglas,6433.619,29.05.2022,01:47
Willkommen bei Fire TV,108.66,02.07.2021,00:01
ZDF HD,0.0,31.12.2021,00:00
